eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
52.38,1.517,523,0.00013662697,0.0036010742,0.7970427,-0.00025139173,0.03644841,0.7759386003017426,439,224768,6857.052731133997,3596288
51.97,1.538,530,0.0005401297,0.013671875,0.82390714,-0.00042767296,0.036798723,0.7701853662729263,440,225280,6872.488235041965,3604480
49.83,1.625,528,0.0004934813,0.014770508,0.79762125,-2.5616231e-05,0.036087275,0.7883720099925995,441,225792,6887.983825676143,3612672
53.15,1.537,535,0.00041175616,0.006958008,0.7921877,9.565274e-05,0.037986647,0.7858581840991974,442,226304,6903.294381834101,3620864
51.66,1.585,530,0.000724256,0.026367188,0.7462224,-0.00031387436,0.036521263,0.7971943467855453,443,226816,6918.738726857118,3629056
52.44,1.466,540,0.0009873795,0.032226562,0.84043527,0.00061185414,0.0392347,0.7853500694036484,444,227328,6933.91250311397,3637248
50.82,1.555,525,0.00027750502,0.0029907227,0.7166956,-0.00018392914,0.036552433,0.8071880042552948,445,227840,6949.507904982194,3645440
53.08,1.55,530,0.00045588432,0.008300781,0.7493907,-0.00010436855,0.03727355,0.7983002662658691,446,228352,6964.955016025109,3653632
55.92,1.4469999999999998,537,0.0008652614,0.025756836,0.77368486,-0.0008909115,0.036685996,0.8004337251186371,447,228864,6980.202600684017,3661824
55.94,1.505,535,0.00022065936,0.007019043,0.77791685,-4.4017797e-05,0.034778398,0.7949479520320892,448,229376,6995.496620328166,3670016
51.59,1.5739999999999998,536,0.00067487685,0.018798828,0.7201529,-0.00010996366,0.034902476,0.786769300699234,449,229888,7010.77171525103,3678208
51.46,1.4669999999999999,534,0.00035932817,0.008422852,0.76961726,0.00033859612,0.036442906,0.772822916507721,450,230400,7026.097743655089,3686400
53.77,1.5,529,0.0005168511,0.014160156,0.73275965,-0.0003488729,0.03799373,0.7716663330793381,451,230912,7041.583281800151,3694592
55.82,1.521,534,0.00038376715,0.010009766,0.78321975,-0.0001993944,0.03372445,0.7982953190803528,452,231424,7056.921662710141,3702784
53.6,1.513,533,0.00050289684,0.012512207,0.7471507,-0.00026767873,0.03413725,0.8003311902284622,453,231936,7072.270057222107,3710976
55.12,1.4790000000000003,538,0.0005525092,0.017822266,0.78465664,-0.0004858775,0.033167593,0.808601975440979,454,232448,7087.479308704147,3719168
53.57,1.575,534,0.0009488958,0.032165527,0.76000136,-0.0009866167,0.03200339,0.8029785603284836,455,232960,7102.805781697156,3727360
53.45,1.5490000000000002,525,0.00067032943,0.01763916,0.7532828,-0.0012627546,0.036323167,0.7665131837129593,456,233472,7118.403310162015,3735552
54.1,1.5030000000000001,535,0.0007480059,0.022705078,0.7677443,0.00025512103,0.03631431,0.7595210373401642,457,233984,7133.714973284164,3743744
51.22,1.6070000000000002,543,0.0012588744,0.052124023,0.71997243,0.0013753164,0.031668156,0.7538518011569977,458,234496,7148.801244113129,3751936
54.66,1.489,538,0.001812323,0.05029297,0.79159564,0.0022194101,0.035023924,0.722524106502533,459,235008,7164.019716617186,3760128
56.64,1.473,529,0.0016371624,0.042907715,0.67636263,-0.00017281418,0.031235967,0.7057731449604034,460,235520,7179.486927126069,3768320
59.54,1.4,540,0.0010420852,0.028076172,0.7153511,0.00043649005,0.025867628,0.6976911127567291,461,236032,7194.6521696380805,3776512
51.27,1.5929999999999997,522,0.0018259495,0.07513428,0.64591885,9.218551e-05,0.03188939,0.6935689449310303,462,236544,7210.335995401023,3784704
52.87,1.567,531,0.0010024016,0.022399902,0.648143,-9.08935e-05,0.026488837,0.7494533360004425,463,237056,7225.760475830175,3792896
53.63,1.5239999999999998,539,0.0041318797,0.093811035,0.59323883,0.0024513758,0.02522911,0.7500906735658646,464,237568,7240.941259242129,3801088
54.44,1.5010000000000003,529,0.0006983332,0.024536133,0.642611,-0.00084698823,0.022845965,0.7730196863412857,465,238080,7256.428296678001,3809280
51.82,1.598,532,0.00116557,0.048706055,0.6050304,0.00082430267,0.024453592,0.7376306354999542,466,238592,7271.815704311011,3817472
